Type;Category;Locale;Series;Set;Id;Number;Name;Variant;Rarity;Illustrator;Quantity;Price;Note 1;Note 2;Note 3;Note 4;Note 5
collection;My Collection;International;Black & White;Dark Explorers;bw5-48;48/108;Espeon;Normal;Rare;Mizue;1;€ 8,63;;;;;
collection;My Collection;International;Black & White;Dark Explorers;bw5-48;48/108;Espeon;Reverse Holo;Rare;Mizue;0;€ 25,24;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-5;5/100;Dugtrio;Expansion Stamp;Holo Rare;Tomokazu Komiya;0;€ 29,51;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-5;5/100;Dugtrio;Holo;Holo Rare;Tomokazu Komiya;1;€ 19,39;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-5;5/100;Dugtrio;Normal;Holo Rare;Tomokazu Komiya;0;—;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-14;14/100;Blastoise;Cosmos Holo;Rare;Kouki Saitou;0;—;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-35;35/100;Ivysaur;Normal;Uncommon;Hisao Nakamura;2;€ 3,81;;;;;
collection;My Collection;International;EX;EX Crystal Guardians;ex14-44;44/100;Aron;Normal;Common;Aya Kusube;3;€ 0,72;;;;;
collection;My Collection;International;EX;EX Delta Species;ex11-2;2/113;Crobat δ;Holo;Holo Rare;Ryo Ueda;1;€ 21,95;;;;;
collection;My Collection;International;EX;EX Deoxys;ex8-15;15/107;Slaking;Holo;Holo Rare;Mitsuhiro Arita;1;€ 17,12;;;;;
collection;My Collection;International;EX;EX Dragon;ex3-3;3/97;Crawdaunt;Holo;Holo Rare;Hisao Nakamura;1;€ 8,43;;;;;
collection;My Collection;International;EX;EX Dragon;ex3-3;3/97;Crawdaunt;Holo (No e-Reader Logo);Holo Rare;Hisao Nakamura;0;—;;;;;
collection;My Collection;International;EX;EX Dragon Frontiers;ex15-4;4/101;Meganium δ;Holo;Holo Rare;Sumiyoshi Kizuki;1;€ 52,59;;;;;
collection;My Collection;International;EX;EX Emerald;ex9-18;18/106;Relicanth;Normal;Rare;Atsuko Nishida;1;€ 2,12;;;;;
collection;My Collection;International;EX;EX FireRed & LeafGreen;ex6-16;16/112;Tauros;Holo;Holo Rare;Masakazu Fukuda;1;€ 21,01;;;;;
collection;My Collection;International;EX;EX Holon Phantoms;ex13-1;1/110;Armaldo δ;Holo;Holo Rare;Masakazu Fukuda;1;€ 39,68;;;;;
collection;My Collection;International;EX;EX Legend Maker;ex12-13;13/92;Victreebel;Holo;Holo Rare;Sumiyoshi Kizuki;1;€ 20,85;;;;;
collection;My Collection;International;EX;EX Power Keepers;ex16-20;20/108;Omastar;Normal;Rare;Ken Sugimori;1;€ 1,38;;;;;
collection;My Collection;International;EX;EX Ruby & Sapphire;ex1-6;6/109;Dustox;Holo;Holo Rare;Midori Harada;1;€ 14,53;;;;;
collection;My Collection;International;EX;EX Sandstorm;ex2-2;2/100;Cacturne;Holo;Holo Rare;Atsuko Nishida;1;€ 28,79;;;;;
collection;My Collection;International;EX;EX Team Magma vs Team Aqua;ex4-30;30/95;Team Aqua's Mightyena;Normal;Uncommon;Shin-ichi Yoshikawa;1;€ 1,24;;;;;
collection;My Collection;International;EX;EX Unseen Forces;ex10-5;5/115;Flareon;Holo;Holo Rare;Naoyo Kimura;1;€ 74,48;;;;;
collection;My Collection;International;Mega Evolution;Mega Evolution;me1-7;7/132;Tangrowth;Reverse Holo;Uncommon;REND;1;€ 0,16;;;;;
collection;My Collection;International;Mega Evolution;Mega Evolution;me1-58;58/132;Ralts;Play! Pokémon;Common;Terada Tera;0;—;;;;;
collection;My Collection;International;Mega Evolution;Mega Evolution Promos;mep-9;9;Alakazam;Holo;Promo;Aya Kusube;1;€ 8,50;;;;;
collection;My Collection;International;Scarlet & Violet;Obsidian Flames;sv3-56;56/197;Froakie;Cosmos Holo;Common;Atsuya Uki;1;—;;;;;
collection;My Collection;International;Scarlet & Violet;Scarlet & Violet Promos;svp-53;53/225;Mew ex;Holo;Promo;Natsumi Yoshida;1;€ 66,54;;;;;
collection;My Collection;International;Scarlet & Violet;Shrouded Fable;sv65-3;3/64;Rowlet;Normal;Common;Yoshimi Miyoshi;4;€ 0,10;;;;;
collection;My Collection;International;Sun & Moon;Sun & Moon Promos;smp-SM210;SM210/251;Moltres & Zapdos & Articuno GX;Holo;Promo;HYOGONOSUKE;1;€ 136,13;;;;;
collection;My Collection;International;Sword & Shield;Astral Radiance: Trainer Gallery;swsh10tg-TG03;TG03/30;Kingdra;Holo;Trainer Gallery Holo Rare;Taira Akitsu;1;€ 10,46;;;;;
collection;My Collection;International;Sword & Shield;Brilliant Stars: Trainer Gallery;swsh9tg-TG06;TG06/30;Dusknoir;Holo;Trainer Gallery Holo Rare;Megumi Higuchi;1;—;;;;;
collection;My Collection;International;Sword & Shield;Crown Zenith: Galarian Gallery;swsh12pt5gg-GG05;GG05/70;Lapras;Holo;Trainer Gallery Holo Rare;zig;1;€ 21,79;;;;;
collection;My Collection;International;Sword & Shield;Lost Origin: Trainer Gallery;swsh11tg-TG05;TG05/30;Pikachu;Holo;Trainer Gallery Holo Rare;Atsushi Furusawa;1;€ 36,88;;;;;
collection;My Collection;International;Sword & Shield;Shining Fates: Shiny Vault;swsh45sv-SV064;SV064/122;Galarian Sirfetch'd;Holo;Shiny Rare;Kouki Saitou;1;€ 1,43;;;;;
collection;My Collection;International;Sword & Shield;Silver Tempest: Trainer Gallery;swsh12tg-TG06;TG06/30;Malamar;Holo;Trainer Gallery Holo Rare;Fumie Kittaka;1;€ 1,37;;;;;
collection;My Collection;International;Sword & Shield;Sword & Shield Promos;swshp-SWSH179;SWSH179/307;Flareon V;Holo;Promo;Souichirou Gunjima;1;€ 73,65;;;;;
collection;My Collection;International;Trainer Kits;EX Trainer Kit: Plusle Half Deck;tk2a-7;7/12;Spoink;Normal;No Rarity;Kagemaru Himeno;1;€ 0,31;;;;;
collection;My Collection;International;XY;XY Promos;xyp-XY121;XY121/211;Charizard EX;Holo;Promo;Kouki Saitou;1;€ 160,62;;;;;
standard;Wishlist;International;EX;EX Delta Species;ex11-18;18/113;Vaporeon δ;Expansion Stamp;Holo Rare;Kouki Saitou;0;€ 174,84;;;;;
standard;Wishlist;International;EX;EX Delta Species;ex11-18;18/113;Vaporeon δ;Holo;Holo Rare;Kouki Saitou;1;€ 120,82;;;;;
standard;Wishlist;International;Scarlet & Violet;151;sv35-174;174/165;Nidoking;Holo;Illustration Rare;Misaki Hashimoto;1;€ 16,23;;;;;
standard;Wishlist;International;Scarlet & Violet;151;sv35-176;176/165;Poliwhirl;Holo;Illustration Rare;Gemi;1;€ 37,45;;;;;
standard;New buys;International;Mega Evolution;Ascended Heroes;me25-234;234/217;Banette;Holo;Illustration Rare;YASHIRO Nanaco;1;€ 9,70;;;;;
standard;New buys;International;Mega Evolution;Ascended Heroes;me25-243;243/217;Mightyena;Holo;Illustration Rare;Yano Keiji;1;€ 6,56;;;;;
standard;New buys;International;Mega Evolution;Ascended Heroes;me25-246;246/217;Mawile;Holo;Illustration Rare;sowsow;1;€ 4,73;;;;;
